2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860606', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '77.75', '58.25', '178.237971117456', '1.8814226349870786', '-6.594655626705949']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860616', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.4375', '178.2383752720091', '1.8744419704567934', '-6.59454163736378']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860626', '0.0078125', '0.02734375', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.4375', '178.2383752720091', '1.8744419704567934', '-6.59454163736378']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860639', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.75', '78.875', '57.8125', '178.23877941190753', '1.867461290456241', '-6.594427697502505']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860646', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.1875', '59.0625', '178.23918353716033', '1.8604805950377432', '-6.5943138071193115']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860656', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.1875', '59.0625', '178.23918353716033', '1.8604805950377432', '-6.5943138071193115']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860666', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '78.125', '59.5', '178.23958764777657', '1.8534998842536228', '-6.594199966211394']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860676', '-0.03125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.6875', '77.3125', '57.4375', '178.23958764777657', '1.8534998842536228', '-6.594199966211394']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860686', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '77.3125', '57.4375', '178.2399917437653', '1.846519158156201', '-6.5940861747759465']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860696', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '77.75', '58.25', '178.24039582513564', '1.839538416797804', '-6.593972432810165']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860709', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.9375', '57.875', '178.24039582513564', '1.839538416797804', '-6.593972432810165']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860716', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.75', '78.5625', '59.5', '178.24079989189664', '1.8325576602307538', '-6.59385874031125']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860726', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.875', '178.24130905504086', '1.8256904431364704', '-6.5867607482995325']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860736', '-0.03125', '0.02734375', '-0.03125', '0.0', '0.0', '0.0', '17.375', '76.6875', '57.8125', '178.24130905504086', '1.8256904431364704', '-6.5867607482995325']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860746', '-0.03125', '0.02734375', '-0.03125', '0.0', '0.0', '0.0', '17.375', '77.0625', '57.8125', '178.24171266835512', '1.8187096073399431', '-6.586647166712528']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860756', '-0.03125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.375', '77.0625', '57.8125', '178.24171266835512', '1.8187096073399431', '-6.586647166712528']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860766', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '77.375', '57.875', '178.24211626708933', '1.8117287564924658', '-6.586533634532639']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860776', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.5625', '59.125', '178.24211626708933', '1.8117287564924658', '-6.586533634532639']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860786', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.5625', '58.25', '178.24251985125247', '1.8047478906463648', '-6.586420151757073']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860796', '-0.03125', '0.02734375', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.5625', '59.125', '178.24251985125247', '1.8047478906463648', '-6.586420151757073']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860809', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.0625', '178.24292342085366', '1.7977670098539664', '-6.5863067183830415']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860816', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.1875', '58.625', '178.24332697590194', '1.7907861141675994', '-6.586193334407756']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860826', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.4375', '78.1875', '58.625', '178.23634266891827', '1.7903827575675808', '-6.586296306709019']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860836', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.4375', '178.23674622114936', '1.7834018600641517', '-6.586182547881351']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860846', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.75', '78.5', '59.125', '178.23674622114936', '1.7834018600641517', '-6.586182547881351']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860856', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '18.0625', '77.4375', '58.25', '178.2371497587943', '1.7764209477684518', '-6.58606883844885']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860866', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '18.1875', '79.0', '59.125', '178.2371497587943', '1.7764209477684518', '-6.58606883844885']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860876', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.8125', '78.5', '57.5', '178.2371497587943', '1.7764209477684518', '-6.58606883844885']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860888', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.4375', '78.9375', '58.75', '178.2375532818621', '1.7694400207328114', '-6.585955178408724']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860896', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.9375', '58.75', '178.23795679036192', '1.7624590790095598', '-6.585841567758184']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860906', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '77.75', '58.25', '178.23795679036192', '1.7624590790095598', '-6.585841567758184']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860916', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.75', '77.75', '58.25', '178.23836028430276', '1.7554781226510285', '-6.5857280064944455']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860926', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '17.75', '77.75', '58.25', '178.23836028430276', '1.7554781226510285', '-6.5857280064944455']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860936', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '17.125', '78.875', '57.5', '178.23836028430276', '1.7554781226510285', '-6.5857280064944455']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860949', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '16.75', '79.3125', '59.125', '178.23876376369364', '1.748497151709548', '-6.585614494614725']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860956', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '17.125', '78.875', '57.875', '178.23876376369364', '1.748497151709548', '-6.585614494614725']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860966', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '77.75', '58.6875', '178.2391672285437', '1.7415161662374519', '-6.585501032116245']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860975', '0.0078125', '-0.00390625', '-0.03125', '0.0', '0.0', '0.0', '17.0625', '77.375', '57.875', '178.2391672285437', '1.7415161662374519', '-6.585501032116245']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860986', '0.0078125', '-0.00390625', '-0.03125', '0.0', '0.0', '0.0', '16.6875', '77.375', '58.25', '178.23957067886192', '1.7345351662870712', '-6.5853876189962195']
2025-11-07 13:57:43 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860996', '0.0078125', '-0.00390625', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '77.375', '58.25', '178.23957067886192', '1.7345351662870712', '-6.5853876189962195']
