2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.380036', '49', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000049.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.467645', '50', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000050.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.555261', '51', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000051.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.642671', '52', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000052.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.730340', '53', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000053.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.818573', '54', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000054.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.907712', '55', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000055.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.995945', '56', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000056.jpg']
2025-11-07 13:57:40 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.084207', '57', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000057.jpg']
2025-11-07 13:57:40 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.172002', '58', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000058.jpg']
2025-11-07 13:57:40 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.260065', '59', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000059.jpg']
2025-11-07 13:57:41 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.348302', '60', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000060.jpg']
2025-11-07 13:57:41 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.436248', '61', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000061.jpg']
2025-11-07 13:57:41 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.524476', '62', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000062.jpg']
2025-11-07 13:57:42 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.612687', '63', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000063.jpg']
2025-11-07 13:57:42 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.700825', '64', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000064.jpg']
2025-11-07 13:57:42 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.789670', '65', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000065.jpg']
2025-11-07 13:57:43 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.878694', '66', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000066.jpg']
2025-11-07 13:57:43 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523860.968946', '67', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000067.jpg']
2025-11-07 13:57:43 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.058425', '68', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000068.jpg']
2025-11-07 13:57:43 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.147327', '69', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000069.jpg']
2025-11-07 13:57:44 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.237097', '70', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000070.jpg']
2025-11-07 13:57:44 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.325927', '71', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000071.jpg']
2025-11-07 13:57:44 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.414999', '72', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000072.jpg']
2025-11-07 13:57:45 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.505214', '73', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000073.jpg']
2025-11-07 13:57:45 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.595048', '74', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000074.jpg']
2025-11-07 13:57:45 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.683938', '75', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000075.jpg']
2025-11-07 13:57:46 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.772711', '76', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000076.jpg']
2025-11-07 13:57:46 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.862159', '77', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000077.jpg']
2025-11-07 13:57:46 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523861.950655', '78', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000078.jpg']
2025-11-07 13:57:46 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523862.038978', '79', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000079.jpg']
2025-11-07 13:57:47 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523862.127682', '80', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000080.jpg']
