2025-11-07 13:52:19 [INFO] (camera_logger_20251107_135219): Camera session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:54:14 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.977027', '52', '2', '-3.1254946349454427', '-0.019633309192176325', '-0.2906593275459538', '0.08668462625011872', '0.08120754654302088', '1.1442186628183741', 'data/sessions/aruco_session_20251107_075407/frames/f000052.jpg']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.064548', '53', '2', '-3.1761132357179473', '-0.0095833401363479', '-0.1999575335523255', '0.0870565566757505', '0.08136228228724432', '1.146559323592391', 'data/sessions/aruco_session_20251107_075407/frames/f000053.jpg']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.152691', '54', '2', '-3.172104199473567', '-0.015609835329395626', '-0.3522091744772306', '0.08752332043216278', '0.08138218092422551', '1.14687744236219', 'data/sessions/aruco_session_20251107_075407/frames/f000054.jpg']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.239967', '55', '2', '-3.1758989427108966', '-0.009567126595391832', '-0.19927218048726483', '0.08789419361988783', '0.08136125655543894', '1.1465473847959426', 'data/sessions/aruco_session_20251107_075407/frames/f000055.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.328685', '56', '2', '-3.1664374668585067', '-0.028795869242903303', '-0.21262644755313712', '0.08949612165401181', '0.08246773878503182', '1.1591300486020462', 'data/sessions/aruco_session_20251107_075407/frames/f000056.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.416886', '57', '2', '-3.175685575743299', '-0.009550828537875408', '-0.19859068159191803', '0.08873181579836292', '0.08136022486506585', '1.1465354272994588', 'data/sessions/aruco_session_20251107_075407/frames/f000057.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.504793', '58', '2', '-3.175685575743299', '-0.009550828537875408', '-0.19859068159191803', '0.08873181579836292', '0.08136022486506585', '1.1465354272994588', 'data/sessions/aruco_session_20251107_075407/frames/f000058.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.593253', '59', '2', '-3.17547314094247', '-0.009534447220161823', '-0.19791300298130296', '0.08956942323229156', '0.08135918730599305', '1.1465234521155891', 'data/sessions/aruco_session_20251107_075407/frames/f000059.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.681839', '60', '2', '-3.17547314094247', '-0.009534447220161823', '-0.19791300298130296', '0.08956942323229156', '0.08135918730599305', '1.1465234521155891', 'data/sessions/aruco_session_20251107_075407/frames/f000060.jpg']
2025-11-07 13:54:24 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.770111', '61', '2', '3.0951723867011953', '-0.0013891855003595303', '-0.3523445341643609', '0.09042068767630294', '0.08200804348851824', '1.1585942650706489', 'data/sessions/aruco_session_20251107_075407/frames/f000061.jpg']
